评论者,评论
西江月『☼,"15年吧，或者14年，你们班表演的就是这首歌的舞蹈。我真的好羡慕那些穿着好似和你情侣装的女孩们。
好久了呀，尽管你都快高考了，我也离开了，那封拿给朋友的信，也不知道你能不能收到。其实也就只有六个字。
你好吗？我很好。"
郑晶晶,周董的歌初听惊艳，五年十年后再听到却依然不减当年。没有人的青春不可以没经历过周杰伦，感觉他是一种风格，更是一个时代。
开心小熊猫,2008年第一次和她听。。。现在2020一个人听
小帆,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
MAVs,好听
向日葵,你们要真喜欢他，就自己写，别复制粘贴
向日葵,现在周杰伦的歌都要付费[em]e400873[/em][em]e400873[/em]
捕狗大将军PG¹³,现在周杰伦的歌都要付费[em]e400873[/em][em]e400873[/em]
A,方文山老师太会了
弘浠,青花瓷的mv真的很搞笑
杰伦本伦,微微笑小时候的梦 不要哭让萤火虫带着你逃跑
差很多先生,可能有点不相信这首歌是我的初恋。那是我小学的时候喜欢过的一女生，是一个双鱼座的女生。当时的年纪，经历过的人应该都知道，是女生追着男生打的年纪。她从来不打男生，从来不争不抢，也从来不会骂脏话。她的成绩不是那么好，也就中上游，她不是什么班委，但老师布置大家都要做的公益（毕业留念墙，班级的各种杂事）的事情，很多人懒得做，她是最认真的一个。当有一个都有人都讨厌的很娘的男生被欺负时，她会递一张纸给他。当冬天大家都在学校玩雪的时候，她拿着一杯温水，给大家倒着喝。她妈妈的厨艺很好，经常做一些什么糯米球，果冻，冰稀饭，她会带来学校，每人打一碗。有一次六一儿童节，她会吹陶笛，吹的就是“青花瓷”。她才是“青花瓷”
记得/way of kobe,0.5倍速可以助眠
⁠不能说の秘密,咋都是Vip啊，没一首能听的
⁠不能说の秘密,现在周杰伦的歌都要付费[em]e400873[/em][em]e400873[/em]
ベ断桥烟雨ミ,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
仲夏夜___浮城ˊ旧事°,天青色等烟雨，而我在等你。是我心里最美的一句歌词。烟雨对于天青色，是上天赐给的礼物。
涂涂,我讲了50节客还不如周杰伦写的一首青花瓷
野.,现在周杰伦的歌都要付费[em]e400873[/em][em]e400873[/em]
A.C.L,"高中教室里
阳光正好
不浓不淡
几个男生讨论这首歌
只有我的前桌默默唱了出来"
@,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
孤傲🍃,你眼带笑意
拾壹月肖邦里的七里香,"天青色等烟雨，而我在等你，
炊烟袅袅升起，隔江千万里。
在瓶底书汉隶，仿前朝的飘逸，
如传世的青花瓷，自顾自美丽。"
鍾無艳,记得当初是你跟我一起唱的，现在时隔多年，听来仍旧好听，好久不见啊“天青色等烟雨，而我在等你，炊烟袅袅升起，隔江千万里”
এ时光清浅᭄ꦿ,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
*💥星球开发商😎,天青色这种通透的色泽需要合适的湿度，古代没有成熟的烧窑技术，就只有烟雨之后的天气才能烧的出来。在诸多瓷器里 青花瓷百不一遇。“天青色等烟雨，而我在等你” 大抵是永远不会过时的情话。
钟怀智,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
我是灰太狼,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
灿警,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
swag不念帅,"我领三天的qq音乐的vlp,我可以听周杰伦的歌啦！"
葆婴桂亮,这首歌是QQ音乐里面就火的男星唱的歌
A. 罗半仙,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
ㅤ,报道
浅韵,"我领三天的qq音乐的vlp,我可以听周杰伦的歌啦！"
不不不,"天色白罢渐染青
似，白瓷渲蓝
雾雨惹釉勾勒画
如，与你涂妆

人家炊烟浓转淡
月光漾笔绘两岸
仍，独自于江畔"
伴,"天色白罢渐染青
似，白瓷渲蓝
雾雨惹釉勾勒画
如，与你涂妆

人家炊烟浓转淡
月光漾笔绘两岸
仍，独自于江畔"
殇ベ,"天色白罢渐染青
似，白瓷渲蓝
雾雨惹釉勾勒画
如，与你涂妆

人家炊烟浓转淡
月光漾笔绘两岸
仍，独自于江畔"
娃赢,"天色白罢渐染青
似，白瓷渲蓝
雾雨惹釉勾勒画
如，与你涂妆

人家炊烟浓转淡
月光漾笔绘两岸
仍，独自于江畔"
坠.,为了周董氪年费来报道
阿板,很久以前天天向上的扇子舞
I want it that Way,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
小白,她等我就行了，等我有伞带她看天青烟雨
杰伦本伦,雨下整夜我的爱溢出就像雨水
蜂鸟配送,青花瓷
zxrr,我靠，钟兴民这编曲，我没了
Ruin.LA,我就纳闷了为什有明星火了起来就忘了粉丝，听个想听的音乐都收费，还要点脸吗，看看人家薛之谦，人家才是真明星
和生,很好
汪狗,就是因为杰伦的青花瓷，从此爱上青花瓷
18,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
18,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
18,入坑杰伦的第一首歌
竖着？,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
wyxa,天青色等烟宇
♧♤,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
枕星,这首歌 那个男孩 温柔的眼神
小仙女,好好听🥳
⚝,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
落叶飘～,打卡
童童🔮,好听
放过初心吧！,刚听到高潮，结果他非要会员[em]e400104[/em]
拾壹月肖邦里的七里香,1
飞到天上摘星星,很多年前的春晚，我还在读小学，家人围在一起包水饺，听到有周杰伦的歌，我这个小朋友硬是熬着看到了周杰伦出场，看了一半就睡着了，哈哈，那时的快乐真容易满足啊。
　󠀀󠀀󠀀󠀀,刚听到高潮，结果他非要会员[em]e400104[/em]
🥭,天青色等烟雨，而我在等你。“天青过雨”是青花瓷上品中的上品，存世极少，也是最美丽的色彩。这类釉色必须在烟雨天才能烧出来。
不知道起什么名字的咕哒子,这周杰伦是何方神圣 什么风格都会唱 还特么都唱得好
PLA,"未曾闻过的淡雅清香
未曾识过的素洁姿色

手中笔锋婉转
却绘不了
你温柔的嘴角
心中万事牵念
却敌不过
你嫣然的轮廓

你的美，耐人去寻味"
阿休,初一第一学期，我是学霸，同位是音乐天才，同时他是文艺委员和音乐课代表，而我却是音痴，前几个星期，他在课间总是哼着同一首歌，我问他是什么歌，他却告诉我，等时机到了，自然会告诉我，也不知道是为了什么，当我问班里别的同学时，他们都说不知道，而初一第二学期的时候，他给我表白了，表白时他什么话都没说，只是唱了一首青花瓷，当时我二话不说就答应他了，我不后悔答应他，因为他给了我一段美好的回忆，初二我们分手，是被老师拆散的，他跟我分手时，还是唱了一首青花瓷，他说，既然是因为这首歌在一起的，那就以这首歌作为结束吧，现在，我后悔了，我后悔跟他分手了，可是没有用了，因为，我们已经失去联系了
放过初心吧！,刚听到高潮，结果他非要会员[em]e400104[/em]
放过初心吧！,刚听到高潮，结果他非要会员[em]e400104[/em]
妈的巴卡,开口就爱了。真的是爱了爱了
　󠀀󠀀󠀀󠀀,刚听到高潮，结果他非要会员[em]e400104[/em]
放过初心吧！,刚听到高潮，结果他非要会员[em]e400104[/em]
密码,不打紧凑车迈巴赫夏季窗口那些积极参加刺激恼羞成怒长长久久那你想念你那你吃呢
浮现,纳里？
这世界从不缺少暗处,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
林婧,真绝了这歌和词
Jason、,太经典了
初心お迷失,这周杰伦是何方神圣 什么风格都会唱 还特么都唱得好
初心お迷失,好听不绕口，最爱唱这首歌了
三好邻居🎖,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
仆の心臓は一つだけ,我想问QQ音乐还有没有能免费听的歌？
海琦,我想问QQ音乐还有没有能免费听的歌？
若干瓶³,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
1.111111,会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真
烟桥♡,我一直记得初中时，我的前桌一个男孩子，他总是哼着“天青色等烟雨，而我在等你～”，每每和他聊天，他总是偷偷地告诉我，他喜欢一个女孩子，现在已经十年了。
凉夏,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
　󠀀󠀀󠀀󠀀,刚听到高潮，结果他非要会员[em]e400104[/em]
放过初心吧！,刚听到高潮，结果他非要会员[em]e400104[/em]
.Hiddleston🇬🇧👑.,我学唱的第一首中文歌。虽然唱得不好听，但我真的很爱这首。
放过初心吧！,刚听到高潮，结果他非要会员[em]e400104[/em]
V,很治愈！周董的歌都值得循环播放
就这样，很简单,该评论已经被删除
Immanuel76,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
Petrichor,天青色等烟雨，谁都不是你
香蕉你个不娜娜,好不容易办了一回绿钻 我要找遍当年我喜欢却不能听的歌[em]e400830[/em]
天琊,当年就是这首歌干翻了五月天的如烟，哈哈
　        ,天青色等烟雨，而我在等你
♫,周杰伦的歌的特点就是吐字不清，这是一种境界，虽然听着比较累， 周杰伦的吐字不清晰，在这首歌里完全不是问题。吐字太清反而有问题。意境缥缈，什么都不要太清楚得才好。缓缓流淌的溪水，似青花瓷般素雅，娴静，铜铃般的清脆嗓音，回荡在我的耳际。泼墨山水画，你美得如画中的人儿，缕缕幽香，似梦幻般，我触不到，我摸不着，却能感到烟雨朦胧的深秋，你那澄澈明净的眸子中牡丹的妖艳，菡萏的清鲜，幽兰的雅致，野菊的傲骨。《青花瓷》是我最喜欢的中国风歌曲。[em]e400116[/em]
画龙,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
Titan,说实话，我们90后这一代真的挺幸运，整个青春有那么多好听的歌陪伴，周杰伦，林俊杰，王力宏…感谢有你们
#^楠枫—落o´#^,咋都是Vip啊，没一首能听的
胡猫🐈,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
。,嘿嘿嘿
Mr . Fan,第一次听这首歌是2007年，一转眼就是2020年了，时间啊怎么这么跑的这么快。
海纳百川,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
